tuple_index,tuple_label
0,"(0, 0)_(0, 1)_(0, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan"
1,"(0, 0)_(0, 1)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan"
2,"(0, 0)_(1, 0)_(2, 0)_nan_nan_nan_nan_nan_nan"
3,"(0, 2)_(1, 2)_nan_nan_nan_nan_nan_nan_nan"
4,"(0, 1)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan"
5,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan"
6,"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan"
7,"(0, 0)_(0, 1)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan"
8,"(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan"
9,"(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan"
10,"(0, 2)_(1, 1)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan"
11,"(0, 1)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan_nan"
12,"(0, 0)_(1, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan"
13,"(0, 2)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan"
14,"(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan"
15,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_nan_nan_nan_nan_nan"
16,"(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan"
17,"(0, 0)_(0, 1)_(0, 2)_(1, 2)_(2, 1)_nan_nan_nan_nan"
18,"(0, 1)_(0, 2)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan"
19,"(0, 0)_(0, 2)_(1, 0)_(1, 2)_(2, 2)_nan_nan_nan_nan"
