Neuron,Type
AINL,Unknown
AINR,Unknown
CEPshVR,Glia
CEPshDL,Glia
CEPshVL,Glia
ASIR,Unknown
CEPshDR,Glia
ASJR,Unknown
PVT,Unknown
RIAR,Unknown
RIH,Unknown
BWM-VR04,Unknown
RIMR,Unknown
SMBVR,Unknown
ADER,Unknown
ASIL,Unknown
BDUR,Unknown
DVC,Unknown
AVFR,Unknown
CEPVR,Unknown
URYVR,Unknown
ADLR,Unknown
PVNL,Unknown
RMFL,Unknown
AIBR,Unknown
AVAR,Interneuron
AIBL,Unknown
AIYR,Unknown
AUAR,Unknown
URXR,Unknown
AFDR,Sensory
BAGL,Unknown
ASEL,Sensory
RID,Unknown
RIML,Unknown
AVHR,Unknown
CEPVL,Unknown
ASKR,Unknown
AWCR,Sensory
ASGR,Unknown
BAGR,Unknown
ASJL,Unknown
URBL,Unknown
BDUL,Unknown
IL2DL,Unknown
PVQL,Unknown
AWCL,Sensory
RIS,Unknown
RIVR,Unknown
URYVL,Unknown
RIFL,Unknown
ASGL,Unknown
IL2DR,Unknown
SMBDL,Unknown
IL1R,Unknown
BWM-VR01,Unknown
IL2VR,Unknown
GLRVL,Unknown
RMDL,Unknown
RMDR,Unknown
RMDVL,Unknown
RMDVR,Unknown
SMBVL,Unknown
SMDDL,Unknown
SMDDR,Unknown
SMDVL,Unknown
SMDVR,Unknown
RIVL,Unknown
RICR,Unknown
ALNR,Unknown
CEPDR,Unknown
RMFR,Unknown
CEPDL,Unknown
ASHR,Sensory
AIYL,Unknown
AWBR,Unknown
SIADL,Unknown
SIBDL,Unknown
DVA,Unknown
SAAVL,Unknown
SIAVL,Unknown
PVPR,Unknown
URYDL,Unknown
AVBR,Interneuron
OLLL,Unknown
AVAL,Interneuron
AVDR,Interneuron
AVEL,Interneuron
AVER,Interneuron
SIBVL,Unknown
URYDR,Unknown
AVBL,Interneuron
AVDL,Interneuron
OLLR,Unknown
OLQVR,Unknown
OLQDR,Unknown
SIBDR,Unknown
RICL,Unknown
BWM-VL06,Unknown
ADAR,Unknown
AVKR,Unknown
SAADR,Unknown
AVKL,Unknown
SAADL,Unknown
SAAVR,Unknown
HSNL,Unknown
HSNR,Unknown
URAVR,Unknown
URBR,Unknown
AVHL,Unknown
AWAR,Unknown
RMGR,Unknown
RMHL,Unknown
RMHR,Unknown
ADAL,Unknown
ADFL,Unknown
URXL,Unknown
AWAL,Unknown
AVFL,Unknown
PVPL,Unknown
PLNL,Unknown
FLPR,Unknown
FLPL,Unknown
AVJL,Unknown
PVCR,Interneuron
PVCL,Interneuron
AVJR,Unknown
IL1L,Unknown
GLRL,Unknown
GLRDR,Unknown
GLRVR,Unknown
RMEV,Unknown
URAVL,Unknown
IL2L,Unknown
OLQVL,Unknown
URADR,Unknown
IL1DL,Unknown
BWM-DL02,Unknown
BWM-DL03,Unknown
SMBDR,Unknown
URADL,Unknown
BWM-DL01,Unknown
BWM-DR01,Unknown
BWM-DR03,Unknown
ALA,Unknown
AVL,Unknown
PVQR,Unknown
ASKL,Unknown
AFDL,Sensory
AUAL,Unknown
AIML,Unknown
ALML,Sensory
ADLL,Unknown
BWM-DR02,Unknown
BWM-VR02,Unknown
ADFR,Unknown
RIAL,Unknown
SIADR,Unknown
IL2VL,Unknown
SIBVR,Unknown
OLQDL,Unknown
BWM-VL04,Unknown
BWM-DL04,Unknown
BWM-DL06,Unknown
RIFR,Unknown
BWM-DR04,Unknown
BWM-DR06,Unknown
PVR,Unknown
ALMR,Sensory
SIAVR,Unknown
PVNR,Unknown
AWBL,Unknown
IL2R,Unknown
GLRR,Unknown
GLRDL,Unknown
BWM-VR08,Unknown
BWM-VR05,Unknown
BWM-VR06,Unknown
BWM-VR07,Unknown
AVM,Unknown
BWM-DR08,Unknown
BWM-VL05,Unknown
BWM-VL02,Unknown
BWM-VL03,Unknown
BWM-VL07,Unknown
BWM-VL08,Unknown
BWM-DL05,Unknown
BWM-DR05,Unknown
BWM-DL08,Unknown
BWM-DL07,Unknown
excgl,Unknown
I1L ,Unknown
 I3            ,Unknown
 I5            ,Unknown
 I6            ,Unknown
 M2L           ,Unknown
 M3L           ,Unknown
 M3R           ,Unknown
 MCR           ,Unknown
 MI            ,Unknown
 NSML          ,Unknown
 pm1vl         ,Unknown
 pm4vl         ,Unknown
I5 ,Unknown
I6 ,Unknown
M1 ,Unknown
 I2L         ,Unknown
 M3L         ,Unknown
 NSML        ,Unknown
